id_pesanan,id_produk,tanggal_pesanan,kurir_pengiriman,kota,kecamatan,jenis_pengiriman,estimasi_waktu_sampai_hari,rating_produk,tanggal_pengiriman,ontime
684811,276,2023-01-30,Ninja Xpress,Malang,Blimbing,Reguler,1,1,2023-01-31,Ontime
702948,124,2022-09-30,J&T Express,Bandung,Kiaracondong,Express,2,5,2022-10-02,Ontime
120263,182,2023-04-03,Ninja Xpress,Pekanbaru,Tampan,Reguler,4,1,2023-04-07,Ontime
553828,236,2023-04-19,J&T Express,Tangerang,Pasar Kemis,Express,3,2,2023-04-22,Ontime
180428,155,2022-05-30,POS Indonesia,Jakarta,Tebet,Same Day,2,2,2022-06-01,Ontime
962863,167,2023-05-27,Ninja Xpress,Bekasi,Jati Sampurna,Next Day,2,5,2023-05-29,Ontime
889717,261,2023-04-12,J&T Express,Semarang,Semarang Selatan,Next Day,1,1,2023-04-13,Ontime
744941,126,2022-11-20,POS Indonesia,Padang,Padang Selatan,Same Day,5,4,2022-11-25,Ontime
556289,139,2022-08-05,J&T Express,Yogyakarta,Danurejan,Express,1,3,2022-08-06,Ontime
814549,285,2023-02-02,J&T Express,Jakarta,Kebayoran Baru,Next Day,3,4,2023-02-05,Ontime
490909,114,2023-04-23,Ninja Xpress,Malang,Lowokwaru,Reguler,5,5,2023-04-28,Ontime
866619,234,2023-02-11,Ninja Xpress,Bekasi,Bekasi Barat,Same Day,1,3,2023-02-12,Ontime
251304,261,2022-09-27,SiCepat,Denpasar,Benoa,Same Day,3,4,2022-09-30,Ontime
934903,290,2022-08-27,SiCepat,Surakarta,Kalijambe,Next Day,2,5,2022-08-29,Ontime
646434,202,2022-12-11,POS Indonesia,Denpasar,Padangsambian Klod,Same Day,1,2,2022-12-12,Ontime
155922,125,2023-02-07,JNE,Medan,Medan Labuhan,Express,1,3,2023-02-08,Ontime
891031,290,2022-06-05,SiCepat,Padang,Koto Tangah,Express,1,4,2022-06-06,Ontime
831650,130,2023-02-16,J&T Express,Yogyakarta,Gondokusuman,Same Day,2,5,2023-02-18,Ontime
481093,152,2022-12-04,JNE,Bekasi,Jati Sampurna,Express,4,5,2022-12-08,Ontime
305117,277,2023-05-27,POS Indonesia,Palembang,Kertapati,Same Day,3,5,2023-05-30,Ontime
706129,113,2022-09-09,J&T Express,Semarang,Gunungpati,Same Day,3,4,2022-09-12,Ontime
643595,238,2022-09-15,SiCepat,Medan,Medan Kota,Reguler,5,4,2022-09-20,Ontime
626075,248,2023-03-25,Ninja Xpress,Pontianak,Pontianak Kota,Express,2,3,2023-03-27,Ontime
684196,164,2022-07-30,J&T Express,Padang,Padang Utara,Reguler,2,5,2022-08-01,Ontime
940855,126,2022-05-31,Ninja Xpress,Pekanbaru,Sukajadi,Next Day,3,1,2022-06-03,Ontime
214125,234,2022-09-04,SiCepat,Bandar Lampung,Kedamaian,Express,4,2,2022-09-08,Ontime
878379,134,2023-04-28,POS Indonesia,Padang,Padang Timur,Next Day,4,3,2023-05-02,Ontime
22986,213,2022-08-23,JNE,Surakarta,Karanganyar,Same Day,5,1,2022-08-28,Ontime
669802,124,2023-02-08,SiCepat,Batam,Sagulung,Next Day,2,4,2023-02-10,Ontime
108703,190,2022-06-06,J&T Express,Bogor,Megamendung,Express,4,1,2022-06-10,Ontime
416250,247,2023-04-09,Ninja Xpress,Makassar,Makassar Selatan,Express,2,4,2023-04-11,Ontime
866125,247,2023-03-24,Ninja Xpress,Semarang,Gajahmungkur,Next Day,2,3,2023-03-26,Ontime
560200,288,2022-10-19,POS Indonesia,Palembang,Kertapati,Express,1,4,2022-10-20,Ontime
412042,190,2022-10-16,SiCepat,Batam,Sekupang,Express,1,4,2022-10-17,Ontime
936125,257,2023-04-01,POS Indonesia,Medan,Medan Sunggal,Reguler,2,1,2023-04-03,Ontime
688827,111,2022-12-23,Ninja Xpress,Malang,Singosari,Next Day,4,3,2022-12-27,Ontime
211970,165,2022-06-02,POS Indonesia,Makassar,Biringkanaya,Same Day,2,3,2022-06-04,Ontime
603720,210,2023-02-05,POS Indonesia,Pontianak,Pontianak Utara,Reguler,3,4,2023-02-08,Ontime
631379,169,2022-12-27,Ninja Xpress,Bandar Lampung,Labuhan Ratu,Same Day,4,5,2022-12-31,Ontime
987471,196,2023-04-22,Ninja Xpress,Yogyakarta,Gondomanan,Next Day,3,1,2023-04-25,Ontime
81701,149,2022-06-04,Ninja Xpress,Bandung,Buahbatu,Reguler,5,3,2022-06-09,Ontime
200083,186,2022-09-11,SiCepat,Batam,Nongsa,Next Day,3,1,2022-09-14,Ontime
328305,214,2022-08-13,Ninja Xpress,Yogyakarta,Mantrijeron,Reguler,5,2,2022-08-18,Ontime
792321,216,2023-05-19,JNE,Padang,Lubuk Begalung,Next Day,2,2,2023-05-21,Ontime
244743,223,2022-09-03,POS Indonesia,Surabaya,Asemrowo,Express,4,1,2022-09-07,Ontime
828496,142,2023-02-03,J&T Express,Pekanbaru,Senapelan,Next Day,2,5,2023-02-05,Ontime
559117,128,2022-06-02,POS Indonesia,Surakarta,Karanganyar,Same Day,3,4,2022-06-05,Ontime
663060,145,2022-11-07,POS Indonesia,Pontianak,Pontianak Selatan,Reguler,4,1,2022-11-11,Ontime
441389,249,2022-07-15,J&T Express,Medan,Medan Labuhan,Next Day,4,1,2022-07-19,Ontime
94653,297,2023-04-29,J&T Express,Bandung,Babakan Ciparay,Same Day,5,1,2023-05-04,Ontime
220820,172,2023-02-05,Ninja Xpress,Denpasar,Serangan,Next Day,1,2,2023-02-06,Ontime
465507,115,2022-11-30,POS Indonesia,Semarang,Gajahmungkur,Same Day,2,3,2022-12-02,Ontime
206346,226,2022-10-07,SiCepat,Depok,Mekarsari,Next Day,4,4,2022-10-11,Ontime
360975,298,2022-06-19,J&T Express,Yogyakarta,Gondokusuman,Express,3,3,2022-06-22,Ontime
69135,118,2022-12-27,J&T Express,Makassar,Panakkukang,Express,3,4,2022-12-30,Ontime
716327,149,2022-07-05,Ninja Xpress,Bogor,Megamendung,Same Day,4,5,2022-07-09,Ontime
165157,275,2022-07-03,JNE,Semarang,Genuk,Reguler,5,1,2022-07-08,Ontime
352823,298,2022-12-25,SiCepat,Batam,Sekupang,Next Day,5,5,2022-12-30,Ontime
71059,122,2023-02-20,Ninja Xpress,Depok,Cipayung,Next Day,3,3,2023-02-23,Ontime
610717,222,2023-05-15,JNE,Batam,Nongsa,Express,1,3,2023-05-16,Ontime
656716,130,2022-10-31,J&T Express,Denpasar,Denpasar Utara,Same Day,4,1,2022-11-04,Ontime
325116,250,2023-03-04,JNE,Palembang,Jakabaring,Express,4,4,2023-03-08,Ontime
575087,288,2023-02-11,J&T Express,Medan,Medan Polonia,Express,1,2,2023-02-12,Ontime
615391,169,2023-02-10,Ninja Xpress,Bandar Lampung,Tanjung Karang Barat,Reguler,1,2,2023-02-11,Ontime
643860,279,2023-05-09,POS Indonesia,Bandung,Buahbatu,Reguler,1,1,2023-05-10,Ontime
823714,211,2023-04-12,JNE,Semarang,Mijen,Same Day,2,2,2023-04-14,Ontime
562884,267,2023-01-23,POS Indonesia,Semarang,Prajurit Kulon,Reguler,3,1,2023-01-26,Ontime
510106,140,2022-08-29,POS Indonesia,Bekasi,Bekasi Barat,Express,5,3,2022-09-03,Ontime
908650,180,2022-10-15,JNE,Surakarta,Serengan,Express,5,4,2022-10-20,Ontime
930762,298,2022-06-08,SiCepat,Palembang,Sako,Next Day,3,2,2022-06-11,Ontime
355081,210,2022-12-25,SiCepat,Denpasar,Kedonganan,Express,4,3,2022-12-29,Ontime
580017,244,2022-08-12,J&T Express,Bandung,Cibeunying Kidul,Reguler,4,5,2022-08-16,Ontime
680187,143,2023-02-27,J&T Express,Padang,Nanggalo,Express,1,1,2023-02-28,Ontime
660375,179,2022-11-01,Ninja Xpress,Bogor,Leuwiliang,Express,5,3,2022-11-06,Ontime
170956,136,2023-01-09,JNE,Jakarta,Sawah Besar,Same Day,3,1,2023-01-12,Ontime
226646,174,2022-08-15,JNE,Depok,Cinere,Express,4,2,2022-08-19,Ontime
343843,231,2023-03-12,J&T Express,Bandung,Rancasari,Reguler,4,3,2023-03-16,Ontime
776242,282,2022-10-12,JNE,Bandung,Bandung Wetan,Express,2,3,2022-10-14,Ontime
731226,270,2022-08-19,Ninja Xpress,Bogor,Parung Panjang,Express,4,3,2022-08-23,Ontime
437238,138,2022-06-18,POS Indonesia,Bekasi,Bekasi Jaya,Next Day,4,3,2022-06-22,Ontime
901872,249,2023-04-30,J&T Express,Padang,Nanggalo,Same Day,3,2,2023-05-03,Ontime
235406,183,2022-06-13,J&T Express,Jakarta,Cempaka Putih,Next Day,2,3,2022-06-15,Ontime
21826,167,2022-11-13,POS Indonesia,Yogyakarta,Prawirotaman,Reguler,4,1,2022-11-17,Ontime
266563,170,2022-11-18,SiCepat,Tangerang,Kosambi,Same Day,2,3,2022-11-20,Ontime
230428,283,2022-11-13,POS Indonesia,Semarang,Prajurit Kulon,Next Day,2,5,2022-11-15,Ontime
276962,140,2023-02-08,Ninja Xpress,Depok,Cinere,Reguler,4,5,2023-02-12,Ontime
19910,206,2022-08-17,Ninja Xpress,Surakarta,Tawangmangu,Same Day,2,3,2022-08-19,Ontime
516979,297,2023-01-15,JNE,Malang,Klojen,Same Day,3,3,2023-01-18,Ontime
599751,173,2022-09-07,JNE,Pontianak,Pontianak Barat,Express,1,1,2022-09-08,Ontime
243058,134,2022-06-25,Ninja Xpress,Tangerang,Pagedangan,Next Day,5,1,2022-06-30,Ontime
174203,209,2022-06-30,Ninja Xpress,Pekanbaru,Tampan,Same Day,5,3,2022-07-05,Ontime
530739,298,2022-11-10,Ninja Xpress,Batam,Batam Kota,Express,4,2,2022-11-14,Ontime
845580,270,2022-11-23,SiCepat,Medan,Medan Amplas,Reguler,3,5,2022-11-26,Ontime
367840,130,2022-11-09,SiCepat,Surakarta,Banyudono,Express,2,2,2022-11-11,Ontime
984662,165,2022-11-05,JNE,Bandung,Astana Anyar,Same Day,1,2,2022-11-06,Ontime
225403,154,2022-09-13,SiCepat,Jakarta,Menteng,Express,5,1,2022-09-18,Ontime
978652,140,2023-05-11,J&T Express,Batam,Bulang,Reguler,4,5,2023-05-15,Ontime
779843,253,2022-12-26,Ninja Xpress,Surabaya,Tambaksari,Express,5,5,2022-12-31,Ontime
303857,287,2023-01-08,JNE,Bekasi,Jatiasih,Reguler,1,3,2023-01-09,Ontime
111518,258,2022-05-29,JNE,Palembang,Sako,Next Day,5,2,2022-06-03,Ontime
565814,239,2023-04-21,Ninja Xpress,Bandar Lampung,Enggal,Same Day,4,4,2023-04-25,Ontime
929204,225,2022-07-16,SiCepat,Depok,Pancoran Mas,Same Day,3,1,2022-07-19,Ontime
101842,170,2022-11-23,SiCepat,Bogor,Babakan Madang,Reguler,2,5,2022-11-25,Ontime
909647,218,2022-11-03,Ninja Xpress,Malang,Klojen,Express,3,3,2022-11-06,Ontime
163398,297,2022-06-12,POS Indonesia,Batam,Sagulung,Reguler,1,2,2022-06-13,Ontime
282538,185,2023-04-08,JNE,Makassar,Panakkukang,Express,1,2,2023-04-09,Ontime
885251,212,2022-06-06,J&T Express,Makassar,Makassar Timur,Next Day,1,3,2022-06-07,Ontime
123025,258,2023-05-22,J&T Express,Surabaya,Sambikerep,Express,2,5,2023-05-24,Ontime
750194,266,2022-12-31,JNE,Jakarta,Sawah Besar,Same Day,4,2,2023-01-04,Ontime
322823,156,2022-12-04,POS Indonesia,Depok,Cipayung,Same Day,2,5,2022-12-06,Ontime
829146,284,2022-07-11,SiCepat,Bandar Lampung,Teluk Betung Selatan,Same Day,3,5,2022-07-14,Ontime
433357,253,2022-07-27,SiCepat,Surakarta,Banjarsari,Express,1,2,2022-07-28,Ontime
120333,122,2023-04-27,Ninja Xpress,Medan,Medan Area,Next Day,5,2,2023-05-02,Ontime
22215,143,2022-06-09,Ninja Xpress,Bandar Lampung,Rajabasa,Express,2,5,2022-06-11,Ontime
380670,264,2022-11-22,Ninja Xpress,Denpasar,Kuta,Same Day,5,5,2022-11-27,Ontime
921799,262,2023-02-24,JNE,Depok,Limo,Next Day,1,3,2023-02-25,Ontime
19633,213,2022-09-05,POS Indonesia,Tangerang,Karang Tengah,Same Day,1,1,2022-09-06,Ontime
996582,149,2022-08-30,Ninja Xpress,Denpasar,Nusa Dua,Same Day,3,3,2022-09-02,Ontime
